,title,release_year,genres,description,channels
284,The Intruder,2019,"['Thriller', 'Drama']","Scott and Annie Russell couldn't be happier after buying their dream home from a mysterious and lonely widower named Charlie in Napa Valley, Calif. Their newfound paradise soon turns into a living nightmare when Charlie -- still strangely attached to the house -- begins to show up and interfere in their daily lives. When his erratic behavior turns to obsession, the young couple soon find themselves caught up in a violent confrontation that threatens to destroy everything they hold dear.",['602']
285,High Fidelity,2000,['Romantic comedy'],"Rob Gordon (John Cusack) is the owner of a failing record store in Chicago, where he sells music the old-fashioned way -- on vinyl. Although they have an encyclopedic knowledge of pop music and are consumed by the music scene, it's of no help to Rob, whose needle skips the love groove when his long-time girlfriend, Laura (Iben Hjejle), walks out on him. As he examines his failed attempts at romance and happiness, the process finds him being dragged, kicking and screaming, into adulthood.",['513']
286,The Covenant,2006,"['Horror', 'Thriller']","In the 17th century, five families with supernatural powers make a pact of silence. Eventually one power-hungry family is banished. The descendants of those four remaining families are heirs to tremendous power. Known as the Sons of Ipswich, the boys attend elite Spencer Academy. When a student there is found dead after a party, unraveling secrets threaten to shatter the pact that has protected the boys' families for centuries.",['620']
287,The Hot Chick,2002,['Comedy'],"Not only is Jessica Spencer (Rachel McAdams) the most popular girl in school -- she is also the meanest. But things change for the attractive teen when a freak accident involving a cursed pair of earrings and a chance encounter at a gas station causes her to switch bodies with Clive (Rob Schneider), a sleazy crook. Jessica, in the form of the repulsive Clive, struggles to adjust to this radical alteration and sets out to get her own body back before the upcoming prom.",['515']
288,La revolución,2016,['Crime drama'],Una organización criminal de narcotraficantes liderada por Pablo Ruiz se ha apoderado de varias regiones de Michoacán y ha dejado una huella de terror y destrucción a su paso. El pueblo comienza a perder fe en que algún día la paz regrese.,['972']
289,Dear John,2010,"['Romance', 'Drama']","Un soldado y una universitaria idealistas se enamoran, pero su amor queda marcado por los múltiples y peligrosos destinos a los que envían a John, el soldado. Durante siete años se comunican habitualmente por carta, pero esto acaba trayendo consecuencias inesperadas.",['973']
290,Valeria descalza,2015,['Drama'],"Salvador es un viejo arquitecto cuyo tiempo se acaba y vive obsesionado con la idea de recuperar a su hija Valeria, una veinte añera que quiere ser cantante y no quiere saber nada de él.",['984']
291,Ghoulies II,1988,['Horror'],"Pint-sized monsters known as ghoulies hop aboard a traveling carnival, where their violent behavior and grotesque looks are most likely to go unnoticed. There, the gremlin-like creatures find a new home in a haunted house attraction. As the creatures earn their keep by scaring visitors, the carnival finds itself running in the black for the first time in years. But things quickly turn sour when, to the shock of carny Uncle Ned (Royal Dano), the ghoulies start taking bites out of the customers.",['533']
292,Charro!,1969,['Western'],A reformed outlaw's (Elvis Presley) old gang tries to frame him for the theft of a jeweled Mexican cannon.,['064']
293,Charro!,1969,['Western'],A reformed outlaw's (Elvis Presley) old gang tries to frame him for the theft of a jeweled Mexican cannon.,['631']
294,The Express,2008,"['Biography', 'Drama']","Born into poverty, Ernie Davis (Rob Brown) overcomes many obstacles to get into Syracuse University's football program. Under the guidance of Coach Ben Schwartzwalder (Dennis Quaid), Davis becomes one of the school's best players, even surpassing Jim Brown's achievements. In 1961 Davis becomes the first black player to win the Heisman Trophy, but there is one more obstacle in his life that he must overcome.",['554']
295,Snow White and the Huntsman,2012,"['Fantasy', 'Adventure', 'Action']","Queen Ravenna (Charlize Theron), who seized control of her kingdom by marrying and killing its rightful ruler, needs the life force of young maidens to maintain her beauty. However, to become truly immortal, Ravenna must consume the heart of her stepdaughter Snow White (Kristen Stewart). Snow escapes, and Ravenna dispatches a huntsman (Chris Hemsworth) to capture her. But Snow, the Huntsman and a rebel army join forces to destroy Ravenna and restore the balance of life and death.",['516']
296,Ice Age: Dawn of the Dinosaurs,2009,"['Comedy', 'Adventure', 'Animated', 'Children']","After Sid (John Alberto Leguizamo) pilfers some dinosaur eggs, Manny (Ray Romano), Diego (Denis Leary) and the rest of their prehistoric pals enter a mysterious, underground world to rescue the hapless sloth. During the course of their mission, the gang encounters many creatures great and small, including hungry carnivores and a relentless, dinosaur-hunting weasel named Buck.",['581']
297,This Changes Everything,2018,['Documentary'],"Geena Davis, Meryl Streep, Rashida Jones, Reese Witherspoon, Sandra Oh, Jessica Chastain, Tiffany Haddish and other top actresses discuss gender discrimination in the media and entertainment industry.",['621']
298,Wedding Daze,2006,['Romantic comedy'],"One year after accidentally scaring his fiancee to death, a young man (Jason Biggs) heeds his friend's advice and begins dating again. He hurriedly proposes to a waitress (Isla Fisher), but she has issues of her own, including a pair of problematic parents (Joe Pantoliano, Joanna Gleason).",['534']
299,Flawless,1999,['Comedy'],"A former security guard, Walt Koontz (Robert De Niro), experiences a severe stroke, and must begin physical therapy after leaving the hospital. Part of Walt's recovery program includes regaining his speech by taking singing lessons, and he gets paired with Rusty (Philip Seymour Hoffman), a vocal instructor and neighbor. Walt, however, is extremely homophobic, and Rusty is flamboyantly gay and awaiting gender reassignment surgery, so the two don't have an easy start to their relationship.",['538']
300,"Murder, Inc.",1960,['Crime drama'],"Looking to make money and bolster his street cred, Abe Reles (Peter Falk) goes to work for New York City racketeer Louis ""Lepke"" Bucholter. Along with fellow thug Bug Workman (Warren Finnerty), Abe uses his ties to married entertainers Joey (Stuart Whitman) and Eadie Collins (May Britt) to close in on a murder target. But after the hit, prosecutor Burton Turkus (Henry Morgan) elicits key testimony from Joey and Eadie, forcing Abe to either accept a jail term or incriminate his dangerous boss.",['083']
301,"Murder, Inc.",1960,['Crime drama'],"Looking to make money and bolster his street cred, Abe Reles (Peter Falk) goes to work for New York City racketeer Louis ""Lepke"" Bucholter. Along with fellow thug Bug Workman (Warren Finnerty), Abe uses his ties to married entertainers Joey (Stuart Whitman) and Eadie Collins (May Britt) to close in on a murder target. But after the hit, prosecutor Burton Turkus (Henry Morgan) elicits key testimony from Joey and Eadie, forcing Abe to either accept a jail term or incriminate his dangerous boss.",['632']
302,Space Buddies,2009,"['Comedy', 'Adventure', 'Children']",Five puppies blast off to a cosmic adventure when they become accidental stowaways aboard an unmanned space shuttle.,['514']
303,Las Ineses,2016,['Comedy'],"En el año 1985, Carmen y Rosa van juntas a dar a luz al hospital. Las mujeres son vecinas y sus maridos, Pedro y el negro Ramón, se apellidan García.",['982']
304,You Might Be the Killer,2018,['Horror'],A camp counselor suffering from memory loss finds himself in the middle of a horror movie massacre.,['058']
305,You Might Be the Killer,2018,['Horror'],A camp counselor suffering from memory loss finds himself in the middle of a horror movie massacre.,['111']
306,Buscando la comedia,2018,['Documentary'],Una colección de conversaciones individuales con la realeza de la comedia española y un vistazo a cómo es la vida de un comediante bajo una monarquía que aún encarcela a los comediantes por sus chistes y sus puntos de vista.,['661']
307,You May Now Kill the Bride,2016,['Thriller'],"Nicole (Ashley Newbrough) and Mark (Rocky Myers) get engaged, but his stepsister (Tammin Sursok) believes she has a claim on him and is willing to do anything to be his bride.",['076']
308,You May Now Kill the Bride,2016,['Thriller'],"Nicole (Ashley Newbrough) and Mark (Rocky Myers) get engaged, but his stepsister (Tammin Sursok) believes she has a claim on him and is willing to do anything to be his bride.",['630']
309,W.,2008,"['Biography', 'Comedy drama']","Flashbacks to key events in his life reveal the rise of George W. Bush from ne'er-do-well party boy and son of privilege to president of the United States. After trading in booze for religion, George mends his aimless ways and sets his sights first on the Texas governorship, then on the presidency. But the country's involvement in the Iraq war decreases his approval rating.",['599']
310,El renegado blanco,1959,['Drama'],"Un hombre roba un tren cargado de oro, asesina a su ayudante y otra persona es culpada por el crimen.",['811']
311,El renegado blanco,1959,['Drama'],"Un hombre roba un tren cargado de oro, asesina a su ayudante y otra persona es culpada por el crimen.",['1240']
312,Memphis,2013,['Drama'],A singer with an angelic voice wanders around Memphis.,['555']
313,Revolt at Fort Laramie,1957,['Western'],"At the dawn of the American Civil War, tensions begin to mount between Northern and Southern sympathizers stationed at Fort Laramie in Wyoming. The Southern soldiers, led by Maj. Seth Bradner (John Dehner), leave Fort Laramie to join the Confederate cause. But when Bradner is captured by a fortune-seeking Sioux tribe en route to Texas, it's up to Capt. James Tenslip (Gregg Palmer), a Northerner who has fallen for Bradner's niece Melissa (Frances Helm), to save him.",['640']
314,Eight Men Out,1988,['Historical drama'],"The Chicago White Sox, who are set to play the Cincinnati Reds in the World Series of 1919, are at odds with their team's owner, Charles Comiskey (Clifton James), who pays his players unsatisfactory wages despite the team's popularity. A group of professional gamblers offers the Sox's best athletes a fortune to throw the series, and the players agree. However, their reputations and careers are ruined when the dark secret, dubbed the ""Black Sox Scandal,"" reaches the public consciousness.",['633']
